datename,box,social_experience,sex_target,playlist,interaction_index,led_intensity
rpi8-20230926_153857,box02,False,female,IPI36,0.6910996710465181,0
rpi8-20230926_153857,box06,False,female,IPI36,0.5284763206093555,0
rpi8-20230926_153857,box03,False,female,IPI36,0.6832405025813734,0
rpi6-20231114_141206,box05,False,female,IPI36,0.7545182608695652,0
rpi6-20231114_141206,box01,False,female,IPI36,0.7808130538753693,0
rpi6-20231114_141206,box04,False,female,IPI36,0.7425224499993061,0
rpi6-20231114_141206,box02,False,female,IPI36,0.6987988741186635,0
rpi6-20231114_141206,box03,False,female,IPI36,0.7173546992955968,0
rpi6-20231128_143446,box05,False,female,IPI36,0.8069020351797347,0
rpi6-20231128_143446,box03,False,female,IPI36,0.7421622675130861,0
rpi6-20231128_143446,box06,False,female,IPI36,0.8367255459524576,0
rpi6-20231128_143446,box04,False,female,IPI36,0.794425087108014,0
rpi6-20231128_143446,box02,False,female,IPI36,0.7347020989900954,0
rpi6-20231128_143446,box01,False,female,IPI36,0.7108261701459291,0
localhost-20230822_141030,box01,False,female,IPI96,0.23253909492719482,0
localhost-20230822_141030,box03,False,female,IPI96,0.5267390018652472,0
localhost-20230822_141030,box02,False,female,IPI96,0.5355284827729122,0
localhost-20230822_141030,box04,False,female,IPI96,0.5394395049734958,0
localhost-20230822_141030,box05,False,female,IPI96,0.505050714567215,0
localhost-20230822_141030,box06,False,female,IPI96,0.573921769923754,0
rpi8-20230919_152526,box07,False,female,IPI96,0.6573212216365744,0
rpi8-20230919_152526,box05,False,female,IPI96,0.683071920781836,0
rpi8-20230919_152526,box02,False,female,IPI96,0.6260837278381138,0
rpi8-20230919_152526,box03,False,female,IPI96,0.5090686773996331,0
rpi8-20230919_152526,box04,False,female,IPI96,0.6080152031747806,0
rpi8-20230919_152526,box06,False,female,IPI96,0.638579412962209,0
rpi8-20230919_152526,box01,False,female,IPI96,0.6241428145497913,0
rpi8-20231205_163312,box05,False,female,IPI96,0.6525350735047227,0
rpi8-20231205_163312,box04,False,female,IPI96,0.6409062785421761,0
rpi8-20231205_163312,box00,False,female,IPI96,0.6276644190795175,0
rpi8-20231205_163312,box02,False,female,IPI96,0.709377707405969,0
rpi8-20231205_163312,box03,False,female,IPI96,0.6824290909090909,0
rpi8-20231205_163312,box01,False,female,IPI96,0.44884504973629746,0
rpi8-20231205_163312,box06,False,female,IPI96,0.7153921611689433,0
localhost-20230823_140723,box04,False,female,silence,0.5509588998859186,0.02
localhost-20230823_140723,box01,False,female,silence,0.43512588151125947,0.02
localhost-20230823_140723,box02,False,female,silence,0.5578082148722664,0.02
localhost-20230823_140723,box03,False,female,silence,0.2927700782090607,0.02
localhost-20230823_140723,box05,False,female,silence,0.5044009185888845,0.02
localhost-20230823_140723,box06,False,female,silence,0.40941760580029946,0.02
localhost-20230926_140930,box02,False,female,silence,0.583589767682225,0.02
localhost-20230926_140930,box04,False,female,silence,0.51415279581911,0.02
localhost-20230926_140930,box03,False,female,silence,0.43857050770458594,0.02
localhost-20230926_140930,box06,False,female,silence,0.4175655832043497,0.02
localhost-20230926_140930,box01,False,female,silence,0.4715587413437006,0.02
rpi8-20231114_144955,box02,False,female,silence,0.6321492290509276,0.02
rpi8-20231114_144955,box04,False,female,silence,0.45867199837730543,0.02
rpi8-20231114_144955,box03,False,female,silence,0.7234107050060627,0.02
rpi8-20231114_144955,box01,False,female,silence,0.720318874967447,0.02
rpi8-20231114_144955,box05,False,female,silence,0.2155835130948417,0.02
rpi8-20231128_135712,box02,False,female,silence,0.747617802568125,0.02
rpi8-20231128_135712,box03,False,female,silence,0.6496802384466244,0.02
rpi8-20231128_135712,box05,False,female,silence,0.6009394435826435,0.02
rpi8-20231128_135712,box04,False,female,silence,0.7158204968132522,0.02
rpi8-20230829_172503,box02,False,female,IPI16,0.5751311608660312,0.02
