playlist,led_intensity,sex_target,interaction_index,UWE,BWE
True,0.02,female,0.5812972793016072,0.375,0.005952380952380952
True,0.02,female,0.5811700147738829,0.5176470588235295,0.0
True,0.02,female,0.7151725666986919,0.6595744680851063,0.0
True,0.02,female,0.6388164103702881,0.33513513513513515,0.005405405405405406
True,0.02,female,0.5340451472272509,0.42038216560509556,0.0
True,0.02,female,0.6490178703293458,0.49171270718232046,0.0
False,0.16,female,0.3196014277215943,0.3424657534246575,0.0
False,0.16,female,0.39180071841324376,0.38,0.0
False,0.16,female,0.3859197047782656,0.3838383838383838,0.0
False,0.16,female,0.5187510564825771,0.4189189189189189,0.0
False,0.16,female,0.2580610547776168,0.43333333333333335,0.0
False,0.02,female,0.583589767682225,0.43243243243243246,0.0
False,0.02,female,0.43857050770458594,0.4014084507042254,0.0
False,0.02,female,0.4175655832043497,0.24324324324324326,0.0
False,0.02,female,0.4715587413437006,0.3629032258064516,0.0
True,0.0,female,0.6860612146230801,0.7540983606557377,0.0
True,0.0,female,0.6806610093791872,0.4021164021164021,0.0
True,0.0,female,0.5284763206093555,0.4375,0.0
True,0.0,female,0.6832405025813734,0.844559585492228,0.0
True,0.0,female,0.7545182608695652,0.7120418848167539,0.0
True,0.0,female,0.7808130538753693,0.5804878048780487,0.0
True,0.0,female,0.7425224499993061,0.6138613861386139,0.0
True,0.0,female,0.6987988741186635,0.6911764705882353,0.0
True,0.0,female,0.7173546992955968,0.4811320754716981,0.0047169811320754715
False,0.02,female,0.6321492290509276,0.48066298342541436,0.0
False,0.02,female,0.45867199837730543,0.41228070175438597,0.0
False,0.02,female,0.7234107050060627,0.6089385474860335,0.00558659217877095
False,0.02,female,0.720318874967447,0.0,0.0
False,0.02,female,0.2155835130948417,0.18,0.0
False,0.0,female,0.7069034676404277,0.5459183673469388,0.0
False,0.0,female,0.45801473460958864,0.35833333333333334,0.0
False,0.0,female,0.7659144119806602,0.4019607843137255,0.0
False,0.0,female,0.7425260492745155,0.42391304347826086,0.0
False,0.0,female,0.4535382564871506,0.5877192982456141,0.0
False,0.0,female,0.5649514913963251,0.2631578947368421,0.0
False,0.0,female,0.5826662604215717,0.45555555555555555,0.0
False,0.02,female,0.747617802568125,0.4479166666666667,0.0
False,0.02,female,0.6496802384466244,0.5294117647058824,0.0
False,0.02,female,0.6009394435826435,0.432258064516129,0.0
False,0.16,female,0.683328986641166,0.4036144578313253,0.0
False,0.16,female,0.6964490762947135,0.3163841807909605,0.0
False,0.16,female,0.3557731243130676,0.33695652173913043,0.0
False,0.16,female,0.6205110346929004,0.4876543209876543,0.0
False,0.16,female,0.45972969844301675,0.41228070175438597,0.0
False,0.16,female,0.5458817065941851,0.4097222222222222,0.0
False,0.16,female,0.4340416242177267,0.3465346534653465,0.0
True,0.0,female,0.8069020351797347,0.40298507462686567,0.0
True,0.0,female,0.7421622675130861,0.5108695652173914,0.0
True,0.0,female,0.8367255459524576,0.39896373056994816,0.0
True,0.0,female,0.794425087108014,0.465,0.0
True,0.16,female,0.5839818607372732,0.3829787234042553,0.014184397163120567
True,0.16,female,0.5693039078855547,0.2808219178082192,0.0
True,0.16,female,0.7169450520795607,0.3005464480874317,0.00546448087431694
True,0.16,female,0.5980010613833363,0.3829787234042553,0.005319148936170213
True,0.16,female,0.26256113181183044,0.10843373493975904,0.0
True,0.16,female,0.721720627133421,0.27472527472527475,0.0
True,0.16,female,0.5420241394987314,0.11764705882352941,0.006535947712418301
True,0.16,female,0.6830692497186825,0.324468085106383,0.005319148936170213
True,0.02,female,0.623813579946459,0.15384615384615385,0.0
True,0.02,female,0.7585438984629715,0.40404040404040403,0.0
True,0.02,female,0.7919178388033044,0.3932038834951456,0.0
True,0.02,female,0.3400570912586292,0.4418604651162791,0.0
True,0.02,female,0.774387208246698,0.48,0.0
True,0.02,female,0.6829452632190924,0.4117647058823529,0.0
